WN;PS;PA;PC;PU;PET;PP;SAN;PVC;PE;POM;ABS
-26.96249;0.03159;0.05239;0.04324;0.07392;0.04038;0.02029;0.02486;0.00836;0.01844;0.00791;0.16396
-24.02648;0.03055;0.05258;0.04268;0.07198;0.03913;0.02251;0.02523;0.00575;0.01794;0.00802;0.16116
-21.09142;0.02958;0.05236;0.04208;0.07012;0.03788;0.02412;0.02551;0.00383;0.01739;0.0082;0.15848
-18.15729;0.02868;0.0517;0.04145;0.06836;0.03661;0.02514;0.0257;0.00262;0.01678;0.00845;0.15592
-15.22411;0.02784;0.05062;0.04078;0.06669;0.03533;0.02557;0.02581;0.0021;0.01613;0.00878;0.15348
-12.29186;0.02707;0.04911;0.04007;0.06511;0.03404;0.02539;0.02583;0.00227;0.01543;0.00918;0.15116
-9.36055;0.0265;0.04769;0.03924;0.06423;0.03292;0.02508;0.02575;6.05E-04;0.01475;0.0103;0.1493
-6.43018;0.02582;0.04586;0.03844;0.06302;0.03145;0.02408;0.02557;0.00165;0.01394;0.01122;0.1473
-3.50074;0.02533;0.04341;0.03761;0.06143;0.03003;0.0226;0.02531;0.00922;0.01306;0.01121;0.14525
-0.57224;0.02463;0.03977;0.03681;0.05952;0.02874;0.02016;0.02501;0.01825;0.01218;0.01079;0.14259
2.35532;0.02396;0.03568;0.03592;0.05729;0.02758;0.01636;0.02472;0.0265;0.01133;0.01021;0.13983
5.28194;0.02314;0.03217;0.03528;0.05547;0.02629;0.01314;0.02445;0.02999;0.0104;0.00876;0.1368
8.20762;0.02232;0.02958;0.03489;0.05366;0.02523;0.01145;0.0242;0.03063;0.00953;0.00734;0.13342
11.13237;0.02168;0.02781;0.03438;0.05198;0.02438;0.011;0.02401;0.02712;0.00883;0.00587;0.13065
14.05619;0.02108;0.02637;0.03362;0.05036;0.02342;0.01061;0.02388;0.02023;0.00817;0.00557;0.12822
16.97906;0.02058;0.02428;0.03309;0.04902;0.02249;0.01008;0.02379;0.01256;0.00775;0.006;0.12628
19.90101;0.01995;0.02251;0.03244;0.04709;0.0215;0.00947;0.02368;0.00421;0.00709;0.00631;0.12446
22.82201;0.01928;0.02064;0.03184;0.0459;0.02026;0.00876;0.0236;4.20E-04;0.00648;0.00655;0.12243
25.74209;0.0188;0.01932;0.03111;0.04428;0.01917;0.00844;0.02359;0.00234;0.00611;0.0064;0.12034
28.66122;0.01818;0.01741;0.03061;0.04284;0.01818;0.00721;0.02379;0.0054;0.00546;0.00598;0.11819
31.57943;0.0178;0.01574;0.02955;0.04191;0.01708;0.00643;0.02396;0.00671;0.00498;0.00592;0.11659
34.4967;0.01709;0.01421;0.02834;0.03992;0.01595;0.00542;0.02301;0.00569;0.00445;0.00506;0.11556
37.41303;0.01621;0.01187;0.02637;0.03657;0.01473;0.00462;0.01907;0.00543;0.00395;0.00467;0.11393
